timestamp,ip,port,session_id,event_type,packets,duration_sec
2026-04-21T08:44:20.604950,127.0.0.1,35232,ac610cb7,DISCONNECT,0,7.912
2026-04-21T08:44:20.652040,127.0.0.1,37062,1bae5215,CONNECT,0,0.0
2026-04-21T08:44:28.585553,127.0.0.1,37062,1bae5215,DISCONNECT,0,7.934
2026-04-21T08:44:28.695911,127.0.0.1,47500,ea514b42,CONNECT,0,0.0
2026-04-21T08:44:36.606190,127.0.0.1,47500,ea514b42,DISCONNECT,0,7.911
2026-04-21T08:44:36.670606,127.0.0.1,48764,2235c87d,CONNECT,0,0.0
2026-04-21T08:44:44.593955,127.0.0.1,48764,2235c87d,DISCONNECT,0,7.924
2026-04-21T08:44:44.662685,127.0.0.1,55952,24599e42,CONNECT,0,0.0
2026-04-21T08:44:52.599976,127.0.0.1,55952,24599e42,DISCONNECT,0,7.938
2026-04-21T08:44:52.677432,127.0.0.1,55958,aaa82ef1,CONNECT,0,0.0
2026-04-21T08:45:00.605079,127.0.0.1,55958,aaa82ef1,DISCONNECT,0,7.928
2026-04-21T08:45:00.665679,127.0.0.1,40270,78acebd3,CONNECT,0,0.0
2026-04-21T08:45:08.596596,127.0.0.1,40270,78acebd3,DISCONNECT,0,7.931
2026-04-21T08:45:08.679621,127.0.0.1,56652,aca14b09,CONNECT,0,0.0
2026-04-21T08:45:16.606775,127.0.0.1,56652,aca14b09,DISCONNECT,0,7.928
2026-04-21T08:45:16.680085,127.0.0.1,33072,b6f503f0,CONNECT,0,0.0
2026-04-21T08:45:24.607202,127.0.0.1,33072,b6f503f0,DISCONNECT,0,7.928
2026-04-21T08:45:25.701933,127.0.0.1,37378,83d8a349,CONNECT,0,0.0
2026-04-21T08:45:32.613641,127.0.0.1,37378,83d8a349,DISCONNECT,0,6.912
2026-04-21T09:32:55.648229,127.0.0.1,57968,6f22258a,CONNECT,0,0.0
2026-04-21T09:33:00.437603,127.0.0.1,57968,6f22258a,DISCONNECT,0,4.79
2026-04-21T10:49:47.658921,127.0.0.1,56804,075d4a89,CONNECT,0,0.0
2026-04-21T10:49:52.427231,127.0.0.1,56804,075d4a89,DISCONNECT,0,4.769
2026-04-21T11:26:45.778230,127.0.0.1,35582,e7d6dfb4,CONNECT,0,0.0
2026-04-21T11:26:50.589315,127.0.0.1,35582,e7d6dfb4,DISCONNECT,0,4.812
2026-04-21T11:26:58.254352,80.66.66.20,64361,721d55f3,CONNECT,0,0.0
2026-04-21T11:27:58.322027,80.66.66.20,64361,721d55f3,DISCONNECT,0,60.068
2026-04-21T11:58:14.057164,127.0.0.1,52856,fdb09f37,CONNECT,0,0.0
2026-04-21T11:58:18.843479,127.0.0.1,52856,fdb09f37,DISCONNECT,0,4.787
2026-04-21T12:00:29.222003,127.0.0.1,39136,dac6529a,CONNECT,0,0.0
2026-04-21T12:00:34.002940,127.0.0.1,39136,dac6529a,DISCONNECT,0,4.781
2026-04-21T12:26:11.222535,127.0.0.1,44724,53bdc4c6,CONNECT,0,0.0
2026-04-21T12:26:13.226215,127.0.0.1,44724,53bdc4c6,DISCONNECT,0,2.005
2026-04-21T13:30:41.483233,127.0.0.1,40362,6277e421,CONNECT,0,0.0
2026-04-21T13:30:44.493800,127.0.0.1,40362,6277e421,DISCONNECT,0,3.012
2026-04-21T13:30:44.727399,127.0.0.1,35194,d09e267a,CONNECT,0,0.0
2026-04-21T13:30:53.725173,127.0.0.1,35194,d09e267a,DISCONNECT,0,9.002
